cue_index,memory_seed,target,rho,mask_index,method,alpha,category,converged,convergence_step,stable,stability_radius,final_top_memory,final_max_weight,final_ipr,final_support_size,level,target_ipr
24.0,0.0,24.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9772839762019953,35,0.056391769184969,40.783344963042424,60,middle,8.707332297366008
27.0,0.0,27.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518281242073305,39.40927114830682,56,middle,8.707332297366008
28.0,0.0,28.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.94481630169991,35,0.0521404934160824,39.547067890043735,57,middle,8.707332297366008
32.0,0.0,32.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518539034877227,39.4080935018346,56,middle,8.707332297366008
39.0,0.0,39.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.051839349297055,39.399330120563185,56,middle,8.707332297366008
41.0,0.0,41.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,False,1.036588953988883,35,0.0565686222225995,39.453154933130385,61,middle,8.707332297366008
49.0,0.0,49.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518668603027208,39.41410846211178,56,middle,8.707332297366008
54.0,0.0,54.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518431197811795,39.402890276713094,56,middle,8.707332297366008
57.0,0.0,57.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.991914538827053,35,0.0551467790844154,40.712674284056504,58,middle,8.707332297366008
58.0,0.0,58.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0519929862982488,39.472227372486486,56,middle,8.707332297366008
59.0,0.0,59.0,0.1,0.0,sparsemax,0.4,unconverged_or_unstable,False,-1,True,0.9394257518906288,35,0.0518519559185916,39.4061571769327,56,middle,8.707332297366008
