condition_index,condition_id,seed,delta,v_index,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
31,delta+0.15_seed007,7,0.15,6,0.0,0.5266790950117866,0.999999398934506,0.0010964171773612,1
31,delta+0.15_seed007,7,0.15,7,0.0499999999999999,0.5281125760084251,0.9987109363010174,-0.0507588978677162,1
31,delta+0.15_seed007,7,0.15,8,0.0999999999999999,0.5317615363892401,0.9963997102827586,-0.0847798168695491,1
31,delta+0.15_seed007,7,0.15,9,0.1499999999999999,0.5366211911750725,0.9947378193495876,-0.1024532613225539,1
31,delta+0.15_seed007,7,0.15,10,0.1999999999999999,0.5420610604778631,0.9938451114156084,-0.1107785832880053,1
31,delta+0.15_seed007,7,0.15,11,0.2499999999999999,0.5477676547452575,0.9934825265355004,-0.1139845141615256,1
31,delta+0.15_seed007,7,0.15,12,0.3,0.553534288352239,0.993414810321754,-0.1145731846174912,1
32,delta+0.30_seed000,0,0.3,0,-0.3,0.6197756111068884,0.9577374539681108,0.2876438236199077,1
32,delta+0.30_seed000,0,0.3,1,-0.25,0.6047587699868018,0.9591154257045096,0.2830151942487495,1
32,delta+0.30_seed000,0,0.3,2,-0.2,0.5902676721598255,0.964213216748296,0.2651280306717938,1
32,delta+0.30_seed000,0,0.3,3,-0.15,0.5772619439667324,0.9733859787181698,0.2291718491326339,1
32,delta+0.30_seed000,0,0.3,4,-0.1,0.566723892596201,0.9849562351483928,0.1728039780858761,1
32,delta+0.30_seed000,0,0.3,5,-0.05,0.5597176133742323,0.9955445265694104,0.0942926063786993,1
32,delta+0.30_seed000,0,0.3,6,0.0,0.5572524321178207,0.999999073960957,0.0013609104410837,1
32,delta+0.30_seed000,0,0.3,7,0.0499999999999999,0.5595815222040983,0.9964065046035478,-0.0846999267044543,1
32,delta+0.30_seed000,0,0.3,8,0.0999999999999999,0.5657529714371776,0.989035437936612,-0.1476783752129413,1
32,delta+0.30_seed000,0,0.3,9,0.1499999999999999,0.5745130776922451,0.9822691644074576,-0.1874761015550391,1
32,delta+0.30_seed000,0,0.3,10,0.1999999999999999,0.5848389926977688,0.97793050841454,-0.2089304207435564,1
32,delta+0.30_seed000,0,0.3,11,0.2499999999999999,0.595877624451532,0.9751556984308732,-0.2215205719968152,1
32,delta+0.30_seed000,0,0.3,12,0.3,0.6075554237613687,0.9737932093741808,-0.2274352333670692,1
33,delta+0.30_seed001,1,0.3,0,-0.3,0.6235976886673598,0.9583665041075854,0.2855409669462607,1
33,delta+0.30_seed001,1,0.3,1,-0.25,0.6087004147266271,0.9593836041001674,0.2821047680982604,1
33,delta+0.30_seed001,1,0.3,2,-0.2,0.5941928951215232,0.9627851604398676,0.2702678945727335,1
33,delta+0.30_seed001,1,0.3,3,-0.15,0.5806289502215805,0.9694177109871664,0.2454165879161444,1
33,delta+0.30_seed001,1,0.3,4,-0.1,0.5688770188862691,0.9801912751204048,0.1980531852251672,1
