rho,method,alpha,median_first_ipr,p10_first_ipr,p90_first_ipr,correct_rate
0.25,sparsemax,7.5,1.0,1.0,1.0,
0.25,sparsemax,8.0,1.0,1.0,1.0,1.0
0.25,sparsemax,8.5,1.0,1.0,1.0,
0.25,sparsemax,9.0,1.0,1.0,1.0,
0.25,sparsemax,9.5,1.0,1.0,1.0,
0.25,sparsemax,10.0,1.0,1.0,1.0,
0.25,sparsemax,10.5,1.0,1.0,1.0,
0.25,sparsemax,11.0,1.0,1.0,1.0,
0.25,sparsemax,11.5,1.0,1.0,1.0,
0.25,sparsemax,12.0,1.0,1.0,1.0,1.0
0.25,sparsemax,13.0,1.0,1.0,1.0,
0.25,sparsemax,14.0,1.0,1.0,1.0,
0.25,sparsemax,15.0,1.0,1.0,1.0,
0.25,sparsemax,16.0,1.0,1.0,1.0,
0.25,sparsemax,17.0,1.0,1.0,1.0,
0.25,sparsemax,18.0,1.0,1.0,1.0,
0.25,sparsemax,19.0,1.0,1.0,1.0,
0.25,sparsemax,20.0,1.0,1.0,1.0,
0.25,sparsemax,21.0,1.0,1.0,1.0,
0.25,sparsemax,22.0,1.0,1.0,1.0,
0.25,sparsemax,23.0,1.0,1.0,1.0,
0.25,sparsemax,24.0,1.0,1.0,1.0,
0.25,sparsemax,26.0,1.0,1.0,1.0,
0.25,sparsemax,28.0,1.0,1.0,1.0,
0.25,sparsemax,30.0,1.0,1.0,1.0,
0.25,sparsemax,32.0,1.0,1.0,1.0,
0.25,sparsemax,36.0,1.0,1.0,1.0,
0.25,sparsemax,40.0,1.0,1.0,1.0,
0.25,sparsemax,48.0,1.0,1.0,1.0,
0.4,softmax,0.05,99.9980593671055,99.99773561653475,99.99832233213465,
0.4,softmax,0.1,99.99223542690734,99.99094422538118,99.99328529365964,
0.4,softmax,0.15,99.98252554117002,99.97962894188257,99.98488308678188,
0.4,softmax,0.2,99.96892764147809,99.96379351941066,99.97311025297763,
0.4,softmax,0.25,99.95144023464098,99.94344235266027,99.9579616728607,0.0
0.4,softmax,0.3,99.93006240791952,99.91858048080923,99.93943256604119,
0.4,softmax,0.35,99.90479383406807,99.88921359054017,99.9175184909785,
0.4,softmax,0.4,99.87563477618481,99.85534801891832,99.8922189186692,
0.4,softmax,0.45,99.84258609236443,99.81699075612079,99.86368827025191,
0.4,softmax,0.5,99.80564924014601,99.77411770733478,99.83185046794901,0.0
0.4,softmax,0.6,99.72011988309958,99.67436768642804,99.75827121454832,
