condition_index,condition_id,seed,delta,v,true_boundary_u,true_normal_u,true_normal_v,sign_transitions
10,delta-0.15_seed002,2,-0.15,-0.3,0.452207960843225,0.996009929147573,-0.08924248449839724,1
10,delta-0.15_seed002,2,-0.15,-0.25,0.45668796058453154,0.9960804954661575,-0.08845137959293961,1
10,delta-0.15_seed002,2,-0.15,-0.2,0.46108790377911646,0.9963460520900989,-0.08540810549633975,1
10,delta-0.15_seed002,2,-0.15,-0.15,0.46526009326044004,0.9968512421099698,-0.07929439516012718,1
10,delta-0.15_seed002,2,-0.15,-0.1,0.4690423900465248,0.997707942260085,-0.06766728863451796,1
10,delta-0.15_seed002,2,-0.15,-0.05000000000000002,0.4720423674880294,0.9990859701994022,-0.042746042515296206,1
10,delta-0.15_seed002,2,-0.15,0.0,0.47332090498821344,0.9999963696370274,0.0026945709798752056,1
10,delta-0.15_seed002,2,-0.15,0.04999999999999999,0.47177290941181127,0.9981866593365725,0.06019462702346013,1
10,delta-0.15_seed002,2,-0.15,0.09999999999999998,0.4672905071201967,0.9940088600035698,0.1092995253164599,1
10,delta-0.15_seed002,2,-0.15,0.14999999999999997,0.4607770793227246,0.9902399710461531,0.13937288022608124,1
10,delta-0.15_seed002,2,-0.15,0.19999999999999996,0.45321585003694054,0.9881965958799129,0.1531910176588429,1
10,delta-0.15_seed002,2,-0.15,0.24999999999999994,0.44527500025287736,0.9877053797590939,0.15632684604681274,1
10,delta-0.15_seed002,2,-0.15,0.3,0.43738857509742957,0.9877882485865316,0.15580236183817073,1
11,delta-0.15_seed003,3,-0.15,-0.3,0.44600259330763947,0.9916674932128883,-0.1288238444732419,1
11,delta-0.15_seed003,3,-0.15,-0.25,0.45249790778325405,0.9921780306722127,-0.1248309074364591,1
11,delta-0.15_seed003,3,-0.15,-0.2,0.45858409618085716,0.9934153610827836,-0.114568409104617,1
11,delta-0.15_seed003,3,-0.15,-0.15,0.46403068788640667,0.9950290636980944,-0.09958495065065535,1
11,delta-0.15_seed003,3,-0.15,-0.1,0.4685923415963771,0.9968842970286748,-0.07887774298016512,1
11,delta-0.15_seed003,3,-0.15,-0.05000000000000002,0.4719431149569573,0.9988839056966572,-0.047232858691717367,1
11,delta-0.15_seed003,3,-0.15,0.0,0.47332090498821344,0.9999998514789267,0.000545015710484739,1
11,delta-0.15_seed003,3,-0.15,0.04999999999999999,0.4718886133778142,0.9988682645941521,0.04756248507665326,1
11,delta-0.15_seed003,3,-0.15,0.09999999999999998,0.4685592675668886,0.9974049427218346,0.07199569594117478,1
11,delta-0.15_seed003,3,-0.15,0.14999999999999997,0.46467031187785324,0.9969224249845741,0.07839437838822391,1
11,delta-0.15_seed003,3,-0.15,0.19999999999999996,0.4606956287898356,0.9968566889163591,0.07922589073474143,1
11,delta-0.15_seed003,3,-0.15,0.24999999999999994,0.45672274111711886,0.9968944268125762,0.07874961453889988,1
11,delta-0.15_seed003,3,-0.15,0.3,0.45279613487946335,0.9969305431002843,0.07829107378093728,1
12,delta-0.15_seed004,4,-0.15,-0.3,0.4417784943507286,0.9920923868207089,-0.12550974469095544,1
12,delta-0.15_seed004,4,-0.15,-0.25,0.4481040012469748,0.9918381288722944,-0.12750343569922318,1
12,delta-0.15_seed004,4,-0.15,-0.2,0.454633760949946,0.9915936238568813,-0.12939120961787864,1
