cue_index,memory_seed,target,rho,mask_index,level,target_ipr,softmax_alpha,sparsemax_alpha,softmax_achieved_ipr,sparsemax_achieved_ipr,pair_relative_error,pair_status,included
13,4,42,0.1,0,middle,16.0,4.4372213237523805,0.24898526008449728,16.000000000000004,15.999999999999993,6.66133814775094e-16,matched,True
13,4,42,0.1,0,high,64.0,2.77801858309158,0.06333059437022537,63.99999999999997,64.0,4.440892098500627e-16,matched,True
14,4,43,0.1,0,low,4.0,5.88262843072169,0.6472349647901341,4.000000000000002,4.0,4.440892098500625e-16,matched,True
14,4,43,0.1,0,middle,16.0,4.351075336209047,0.2558161513053596,16.000000000000004,15.999999999999993,6.66133814775094e-16,matched,True
14,4,43,0.1,0,high,64.0,2.7242045954594687,0.062118966915416185,63.99999999999997,63.99999999999994,4.440892098500629e-16,matched,True
15,4,45,0.1,0,low,4.0,5.856526657293111,0.6572837580634943,3.999999999999999,4.000000000000001,4.440892098500626e-16,matched,True
15,4,45,0.1,0,middle,16.0,4.342481097961952,0.25169006610132705,16.000000000000004,15.999999999999993,6.66133814775094e-16,matched,True
15,4,45,0.1,0,high,64.0,2.736554671131562,0.06704415436821799,64.0,63.999999999999986,2.2204460492503136e-16,matched,True
16,4,47,0.1,0,low,4.0,6.0872348825209235,0.69807567259578,4.000000000000002,4.0,4.440892098500625e-16,matched,True
16,4,47,0.1,0,middle,16.0,4.492328744422803,0.2457087001105256,16.000000000000004,16.0,2.220446049250313e-16,matched,True
16,4,47,0.1,0,high,64.0,2.802083805758284,0.06342172712123531,64.0,64.00000000000006,8.881784197001248e-16,matched,True
17,4,48,0.1,0,low,4.0,6.060613768702951,0.683122638749166,4.000000000000001,3.9999999999999982,6.66133814775094e-16,matched,True
17,4,48,0.1,0,middle,16.0,4.482522511963437,0.2553812965826747,16.000000000000004,15.999999999999964,2.4424906541753468e-15,matched,True
17,4,48,0.1,0,high,64.0,2.8098295594303018,0.06470204271736218,64.00000000000001,64.00000000000004,4.440892098500624e-16,matched,True
18,4,58,0.1,0,low,4.0,5.937556517571515,0.6636490846274725,3.999999999999999,4.0,2.2204460492503136e-16,matched,True
18,4,58,0.1,0,middle,16.0,4.396188845418641,0.2564214731576411,16.000000000000004,15.999999999999993,6.66133814775094e-16,matched,True
18,4,58,0.1,0,high,64.0,2.7604459003657897,0.06434639362167363,64.00000000000001,63.999999999999986,4.440892098500626e-16,matched,True
19,4,61,0.1,0,low,4.0,5.7968352688038784,0.6530408257821767,4.000000000000001,4.0,2.220446049250313e-16,matched,True
19,4,61,0.1,0,middle,16.0,4.307124605423604,0.25357311458702636,15.999999999999986,16.000000000000018,1.9984014443252818e-15,matched,True
19,4,61,0.1,0,high,64.0,2.728716897429621,0.06948128963119624,64.0,64.00000000000009,1.332267629550187e-15,matched,True
20,4,67,0.1,0,low,4.0,5.945216116779648,0.6727192768099659,4.0,4.000000000000001,2.220446049250313e-16,matched,True
20,4,67,0.1,0,middle,16.0,4.396106348297823,0.24938065478770965,15.999999999999996,16.000000000000007,6.661338147750939e-16,matched,True
20,4,67,0.1,0,high,64.0,2.7524844439176155,0.0631860719040731,64.00000000000001,64.00000000000003,2.220446049250312e-16,matched,True
21,4,69,0.1,0,low,4.0,5.936539287191731,0.6653414187318014,3.999999999999999,4.000000000000003,8.88178419700125e-16,matched,True
21,4,69,0.1,0,middle,16.0,4.388872402864612,0.26626613716977987,16.0,15.999999999999993,4.440892098500627e-16,matched,True
21,4,69,0.1,0,high,64.0,2.742229730548626,0.06089665060862348,64.0,64.00000000000004,6.661338147750936e-16,matched,True
22,4,70,0.1,0,low,4.0,5.828625941564281,0.6535968071329292,4.0,4.0,0.0,matched,True
22,4,70,0.1,0,middle,16.0,4.325112086357793,0.25097670792899085,16.000000000000007,16.0,4.440892098500625e-16,matched,True
22,4,70,0.1,0,high,64.0,2.731884053797502,0.06699739438496044,64.0,63.99999999999994,8.881784197001256e-16,matched,True
23,4,73,0.1,0,low,4.0,5.9098177161476215,0.6707352467187845,4.0,3.9999999999999973,6.661338147750941e-16,matched,True
23,4,73,0.1,0,middle,16.0,4.370264073647647,0.25256704052740964,16.000000000000004,15.999999999999979,1.55431223447522e-15,matched,True
23,4,73,0.1,0,high,64.0,2.735500063234514,0.06123920081963319,63.999999999999986,64.00000000000003,6.661338147750939e-16,matched,True
24,4,74,0.1,0,low,4.0,5.871069465848971,0.6537003046817688,4.0,3.9999999999999964,8.881784197001256e-16,matched,True
24,4,74,0.1,0,middle,16.0,4.3476545654818475,0.24662321742414317,15.999999999999996,16.000000000000014,1.1102230246251561e-15,matched,True
24,4,74,0.1,0,high,64.0,2.732649987643631,0.06463083801950895,63.99999999999997,64.00000000000007,1.5543122344752186e-15,matched,True
25,4,81,0.1,0,low,4.0,5.839607966365258,0.6627693297492123,4.0,3.9999999999999964,8.881784197001256e-16,matched,True
25,4,81,0.1,0,middle,16.0,4.3280807831842285,0.2515642810785773,16.000000000000004,15.999999999999993,6.66133814775094e-16,matched,True
25,4,81,0.1,0,high,64.0,2.7245699680261595,0.06503475731938971,64.00000000000001,63.99999999999997,6.66133814775094e-16,matched,True
26,4,82,0.1,0,low,4.0,5.889425155613893,0.6659733054112932,4.000000000000001,3.9999999999999973,8.881784197001254e-16,matched,True
26,4,82,0.1,0,middle,16.0,4.362928617345302,0.25089912512420215,16.0,16.0,0.0,matched,True
26,4,82,0.1,0,high,64.0,2.7443487888735385,0.06548915905383335,63.999999999999986,64.00000000000001,4.440892098500626e-16,matched,True
27,4,89,0.1,0,low,4.0,5.916697452758868,0.657873826245968,4.0,4.000000000000003,6.661338147750936e-16,matched,True
27,4,89,0.1,0,middle,16.0,4.393011793359641,0.2655568247871809,16.0,15.999999999999954,2.8865798640254113e-15,matched,True
27,4,89,0.1,0,high,64.0,2.7751230562628777,0.06915344617405791,64.00000000000001,64.0,2.220446049250313e-16,matched,True
28,4,90,0.1,0,low,4.0,6.0421978338073785,0.6733146755703494,3.999999999999999,4.0,2.2204460492503136e-16,matched,True
28,4,90,0.1,0,middle,16.0,4.464854721055247,0.2521640072205118,16.0,16.000000000000025,1.5543122344752178e-15,matched,True
28,4,90,0.1,0,high,64.0,2.7922237212115597,0.06329470224617079,64.0,64.00000000000004,6.661338147750936e-16,matched,True
29,4,91,0.1,0,low,4.0,5.885156787206212,0.65153660540384,4.000000000000002,4.0,4.440892098500625e-16,matched,True
29,4,91,0.1,0,middle,16.0,4.359839527429032,0.25016399242896714,15.999999999999993,15.999999999999979,8.88178419700126e-16,matched,True
29,4,91,0.1,0,high,64.0,2.74266059792048,0.06605092094495074,63.999999999999986,64.00000000000016,2.664535259100373e-15,matched,True
30,4,94,0.1,0,low,4.0,5.974822055484562,0.665312457910309,4.000000000000001,3.9999999999999982,6.66133814775094e-16,matched,True
30,4,94,0.1,0,middle,16.0,4.4291940198711535,0.2661623537708341,16.000000000000004,16.000000000000004,0.0,matched,True
30,4,94,0.1,0,high,64.0,2.7881752018254735,0.06571230275639164,64.0,64.00000000000006,8.881784197001248e-16,matched,True
31,4,96,0.1,0,low,4.0,5.846726869516185,0.6350726053494498,4.000000000000001,4.0,2.220446049250313e-16,matched,True
31,4,96,0.1,0,middle,16.0,4.338347393716166,0.2560259083649683,16.000000000000007,15.999999999999982,1.5543122344752197e-15,matched,True
31,4,96,0.1,0,high,64.0,2.739857897824152,0.06750556692947107,64.0,64.0,0.0,matched,True
32,4,3,0.25,0,low,4.0,9.662548865115173,1.0881374767190541,4.0,4.0,0.0,matched,True
32,4,3,0.25,0,middle,16.0,7.065610018324023,0.39152702738591727,16.0,16.0,0.0,matched,True
32,4,3,0.25,0,high,64.0,4.296917600375108,0.08293402278700317,64.00000000000001,63.999999999999915,1.55431223447522e-15,matched,True
33,4,5,0.25,0,low,4.0,10.262444265898282,1.1406768092792303,4.000000000000001,4.0,2.220446049250313e-16,matched,True
33,4,5,0.25,0,middle,16.0,7.343541557670772,0.3619673523743465,16.000000000000004,16.000000000000007,2.220446049250312e-16,matched,True
33,4,5,0.25,0,high,64.0,4.313643229962761,0.07686355267450917,63.999999999999986,63.99999999999996,4.440892098500628e-16,matched,True
34,4,6,0.25,0,low,4.0,9.63961695544571,1.133261195159725,4.000000000000001,4.000000000000001,0.0,matched,True
34,4,6,0.25,0,middle,16.0,6.9714112863327955,0.35461553799335965,15.999999999999993,16.0,4.440892098500627e-16,matched,True
34,4,6,0.25,0,high,64.0,4.148048000531073,0.07430354064606748,64.0,64.00000000000003,4.440892098500625e-16,matched,True
35,4,10,0.25,0,low,4.0,9.751141114737768,1.1215994195724506,3.9999999999999982,4.000000000000002,8.881784197001252e-16,matched,True
35,4,10,0.25,0,middle,16.0,7.0466053638643515,0.34705677990382444,16.000000000000007,16.00000000000001,2.220446049250312e-16,matched,True
35,4,10,0.25,0,high,64.0,4.2009484903232766,0.0773652629173105,64.0,63.99999999999997,4.440892098500627e-16,matched,True
36,4,12,0.25,0,low,4.0,9.563139717687138,1.103095196615902,4.000000000000001,4.0,2.220446049250313e-16,matched,True
36,4,12,0.25,0,middle,16.0,7.013670223087827,0.40964210909858867,15.999999999999996,16.0,2.2204460492503136e-16,matched,True
36,4,12,0.25,0,high,64.0,4.287910770176412,0.08419653359482315,63.999999999999986,63.99999999999996,4.440892098500628e-16,matched,True
37,4,14,0.25,0,low,4.0,9.986622384954638,1.0350523948807493,4.000000000000001,4.000000000000001,0.0,matched,True
37,4,14,0.25,0,middle,16.0,7.2062757343464146,0.38297909705132926,16.000000000000004,16.0,2.220446049250313e-16,matched,True
37,4,14,0.25,0,high,64.0,4.313494683570884,0.08009230235659409,64.0,64.0,0.0,matched,True
38,4,21,0.25,0,low,4.0,10.469512949575186,1.236114118880936,3.999999999999999,3.999999999999999,0.0,matched,True
38,4,21,0.25,0,middle,16.0,7.503919395232051,0.3788109790483025,15.999999999999996,16.000000000000007,6.661338147750939e-16,matched,True
38,4,21,0.25,0,high,64.0,4.37926297496573,0.07324636631461484,64.00000000000001,64.00000000000007,8.881784197001246e-16,matched,True
39,4,23,0.25,0,low,4.0,9.58373230810546,1.07983239644516,3.999999999999999,4.000000000000002,6.661338147750939e-16,matched,True
39,4,23,0.25,0,middle,16.0,7.021348320312343,0.407929719763406,16.000000000000004,15.999999999999993,6.66133814775094e-16,matched,True
39,4,23,0.25,0,high,64.0,4.291818556266755,0.0854693275303337,64.0,63.999999999999915,1.3322676295501888e-15,matched,True
40,4,26,0.25,0,low,4.0,9.929078431093167,1.1798028449950664,4.0000000000000036,4.0,8.881784197001248e-16,matched,True
40,4,26,0.25,0,middle,16.0,7.242873622707564,0.4206159303742412,15.999999999999996,16.0,2.2204460492503136e-16,matched,True
40,4,26,0.25,0,high,64.0,4.357909967791836,0.07946932734428636,64.0,64.00000000000004,6.661338147750936e-16,matched,True
41,4,27,0.25,0,low,4.0,9.863968289976473,1.0880326414688737,4.000000000000001,4.000000000000002,2.220446049250312e-16,matched,True
41,4,27,0.25,0,middle,16.0,7.10307014619665,0.3676461270874587,16.0,16.00000000000001,6.661338147750936e-16,matched,True
41,4,27,0.25,0,high,64.0,4.221929714961485,0.07586557497276131,64.00000000000003,64.00000000000009,8.881784197001244e-16,matched,True
42,4,34,0.25,0,low,4.0,10.011068597270887,1.1525349003194263,4.000000000000001,4.000000000000001,0.0,matched,True
42,4,34,0.25,0,middle,16.0,7.316264156134004,0.39901366027945073,15.999999999999996,16.000000000000018,1.3322676295501873e-15,matched,True
42,4,34,0.25,0,high,64.0,4.4408970773496925,0.08521996857510106,64.0,63.99999999999993,1.1102230246251571e-15,matched,True
43,4,37,0.25,0,low,4.0,9.87772391977864,1.1978095834641629,4.000000000000002,3.9999999999999982,8.881784197001252e-16,matched,True
43,4,37,0.25,0,middle,16.0,7.191966584826395,0.3626123433486974,15.999999999999996,15.999999999999993,2.220446049250314e-16,matched,True
43,4,37,0.25,0,high,64.0,4.350883459097192,0.0833242925594169,64.00000000000003,64.00000000000001,2.220446049250312e-16,matched,True
44,4,38,0.25,0,low,4.0,9.62206591483492,1.124167141952897,4.0,3.999999999999999,2.2204460492503136e-16,matched,True
44,4,38,0.25,0,middle,16.0,7.014045199232221,0.36787420852734787,16.000000000000007,16.000000000000032,1.5543122344752172e-15,matched,True
